pos,last_pos,change,url,name,country,points,best6,team,team points,westerley points,best,race count,win count,2nd count,3rd count
189,174,▼,https://rgtdb.com/user/92883,T.  Scho,,46,46,,0,0,55,1,0,0,0
189,174,▼,https://rgtdb.com/user/20446,James Turner,,46,46,,0,0,55,1,0,0,0
189,,*,https://rgtdb.com/user/286902,Andre Schoch,,46,46,,0,0,55,1,0,0,0
192,176,▼,https://rgtdb.com/user/191533,Vladimir Homutov,,45,45,,0,0,56,1,0,0,0
192,176,▼,https://rgtdb.com/user/264959,Sebastian Marghella,,45,45,,0,0,56,1,0,0,0
192,,*,https://rgtdb.com/user/281949,Jens Neborg,,45,45,,0,0,56,1,0,0,0
192,176,▼,https://rgtdb.com/user/18064,Francisco Zapata,,45,45,,0,0,56,1,0,0,0
196,179,▼,https://rgtdb.com/user/163790,Todd Lorbecki ,,44,44,,0,0,57,1,0,0,0
196,179,▼,https://rgtdb.com/user/251670,Paul Elliott a,,44,44,,0,0,57,1,0,0,0
196,179,▼,https://rgtdb.com/user/63422,Gufo Pino,,44,44,,0,0,57,1,0,0,0
196,179,▼,https://rgtdb.com/user/266247,Christoph Marx,,44,44,,0,0,57,1,0,0,0
200,,*,https://rgtdb.com/user/289659,Taenn Taenn,,43,43,,0,0,58,1,0,0,0
201,183,▼,https://rgtdb.com/user/228253,Ruben Van der wiel,,42,42,,0,0,59,1,0,0,0
201,183,▼,https://rgtdb.com/user/266085,Lo scalatore Dell'etna,,42,42,,0,0,59,1,0,0,0
201,,*,https://rgtdb.com/user/15530,Craig Gregario,,42,42,,0,0,59,1,0,0,0
204,185,▼,https://rgtdb.com/user/192296,Christophe Mathieu,,41,41,,0,0,60,1,0,0,0
205,186,▼,https://rgtdb.com/user/263194,Pino Ferro,,40,40,,0,0,61,1,0,0,0
205,186,▼,https://rgtdb.com/user/179576,Donald Grant sdw,UK,40,40,,0,0,61,1,0,0,0
205,186,▼,https://rgtdb.com/user/162796,Cees De jong,,40,40,,0,0,61,1,0,0,0
208,189,▼,https://rgtdb.com/user/233395,Stephane Frigiolini,,39,39,,0,0,62,1,0,0,0
208,189,▼,https://rgtdb.com/user/277365,Alistair Dow e,,39,39,,0,0,62,1,0,0,0
210,191,▼,https://rgtdb.com/user/157110,John Gymer,,38,38,,0,0,63,1,0,0,0
210,,*,https://rgtdb.com/user/295469,Jason Harding tcc,,38,38,,0,0,63,1,0,0,0
210,191,▼,https://rgtdb.com/user/136617,Isithor Isithor[ṀṚ],,38,38,,0,0,63,1,0,0,0
