pos,userurl,name,rgt_teamname,vr_teamname,team_qualifier,westerley_pos,time_secs,delta_secs,wkg,country,time_human,delta_human
76,/user/6387,Richard Green,,,,,1585.7,312.314,3.15,,26:25.700,05:12.314
77,/user/158346,Mark Vassalotti,,,,,1586.8,313.437,2.39,,26:26.800,05:13.437
78,/user/123417,Mike Buckhurst,,,,,1586.9,313.522,2.59,USA,26:26.900,05:13.522
79,/user/241161,Weiran Shen wcc,,WESTERLEY TWO,False,9,1586.9,313.568,2.27,China,26:26.900,05:13.568
80,/user/265043,Barry Siddle,,,,,1608.8,335.437,2.57,,26:48.800,05:35.437
81,/user/237208,Guillaume Gibert,,,,,1653.6,380.247,2.8,,27:33.600,06:20.247
82,/user/221770,Rafael Nunez,,,,,1658.9,385.556,2.99,,27:38.900,06:25.556
83,/user/78845,Dennis Martin (g),,,,,1728.4,455.08,2.0,,28:48.400,07:35.080
,/user/186356,Luka Big chungus,,,,,,,,,,
,/user/180867,Steve Millward tfc,TFC,,,,,,,,,
,/user/166414,Aled Jones,,,,,,,,,,
,/user/85112,Richard Haig,,,,,,,,,,
,/user/193053,David Inwood,,,,,,,,,,
,,Tânia  Costa,,,,,,,,,,
,/user/41294,Anton Hulselmans,,,,,,,,,,
,/user/43482,Coco Maisie,,,,,,,,,,
,/user/195632,Olly Olly,,,,,,,,,,
,/user/73609,Fred  Tebbenham,,,,,,,,,,
,,James Clampin,,,,,,,,,,
,,Joshua Van kleef,,,,,,,,,,
,/user/97249,Ian Mcnally,,WESTERLEY TWO,False,,,,,,,
,/user/169638,Smith Vinny,,,,,,,,,,
,/user/157746,Sylvain Steen,,,,,,,,,,
,/user/149081,Sam Doshi,,,,10,,,,UK,,
,/user/51825,Marc Arc fawcett,,,,,,,,,,
,/user/233458,Quentin Ruel (ffz),FFZ,,,,,,,,,
,,Alessio Zanforlin,,,,,,,,,,
,/user/243810,Nicolas Moreno,,,,,,,,Lithuania,,
,,David Bagdan,,,,,,,,,,
,/user/180613,Boris Pernek,,,,,,,,,,
,/user/106807,Nguyen Vanhai,,,,,,,,,,
,/user/261347,Tristan Ferris,,,,,,,,,,
