pos,last_pos,change,url,name,country,points,team,team points,westerley points,best,race count,win count,2nd count,3rd count
16,17,▼,https://rgtdb.com/user/143480,Mark Rowbottom яʀ,UK,445,RASIO RACING,185,0,1,5,1,0,0
17,15,▲,https://rgtdb.com/user/21747,Matthew Feely,Eire,429,,0,0,15,6,0,0,0
18,18,-,https://rgtdb.com/user/129003,Andrzej Krajewski яʀ,Poland,427,RASIO RACING,187,0,5,5,0,0,0
19,19,-,https://rgtdb.com/user/56133,Peter Austin (bcc),UK,409,,0,0,26,6,0,0,0
20,20,-,https://rgtdb.com/user/6305,Mike Ade,UK,407,,0,0,4,6,0,0,0
21,22,▼,https://rgtdb.com/user/178580,Timo Achenbach,Deutschland,387,MOON RIDERS,251,0,29,6,0,0,0
22,25,▼,https://rgtdb.com/user/126796,Simon Miller sdw,UK,384,SOUTHBOROUGH (SDW) BEES,384,0,8,5,0,0,0
23,27,▼,https://rgtdb.com/user/128814,Tim Cummins,UK,368,WESTERLEY TWO,309,106,28,6,0,0,0
24,31,▼,https://rgtdb.com/user/67054,Johan Oelofse sanz,New Zealand,362,TEAM SANZ,274,0,1,4,1,0,0
25,33,▼,https://rgtdb.com/user/155757,"Jan Linden, vd",Netherlands,356,,0,0,5,4,0,0,0
26,29,▼,https://rgtdb.com/user/175441,Tomas Nygren,Sweden,354,,0,0,16,6,0,0,0
27,35,▼,https://rgtdb.com/user/141031,Kevan Unsworth (m),UK,349,TEAM CAMERON,349,0,11,6,0,0,0
28,21,▲,https://rgtdb.com/user/112364,Stefan Kruger sanz,South Africa,332,TEAM SANZ,332,0,4,4,0,0,0
29,34,▼,https://rgtdb.com/user/70138,Andrew Beale,UK,331,WESTERLEY TWO,222,99,36,6,0,0,0
30,32,▼,https://rgtdb.com/user/86973,David wcc Buckley wcc,UK,330,WESTERLEY ONE,290,98,26,6,0,0,0
31,23,▲,https://rgtdb.com/user/94990,Danie  Steyn sanz,South Africa,317,TEAM SANZ,237,0,11,4,0,0,0
32,24,▲,https://rgtdb.com/user/171135,Tomasz (m) Poniatowski,Poland,315,,86,0,15,5,0,0,0
33,26,▲,https://rgtdb.com/user/175915,Kristen Ege,Danmark,309,TEAM POCOMOTION (VIKINGS),309,0,7,4,0,0,0
34,37,▼,https://rgtdb.com/user/65012,Dave Morrison,UK,302,WESTERLEY ONE,302,94,37,6,0,0,0
35,28,▲,https://rgtdb.com/user/171850,Eduardo Juez,Espana,293,,0,0,19,4,0,0,0
36,30,▲,https://rgtdb.com/user/148716,Stuart  Hardy [brt],UK,284,TEAM BTR,284,0,4,4,0,0,0
37,45,▼,https://rgtdb.com/user/137497,Jørgen Vanbers[яʀ]a,Netherlands,261,,176,0,2,3,0,1,0
38,36,▲,https://rgtdb.com/user/168564,Marcus Garwood (o),UK,257,,0,0,30,4,0,0,0
39,43,▼,https://rgtdb.com/user/101319,Martin Wilson,UK,252,,0,0,24,5,0,0,0
40,49,▼,https://rgtdb.com/user/106173,Hendre Knoetze sanz,New Zealand,237,TEAM SANZ,172,0,6,3,0,0,0
41,38,▲,https://rgtdb.com/user/36792,Francois Iker,Belgium,236,,0,0,17,3,0,0,0
42,39,▲,https://rgtdb.com/user/134803,Steve Mayes (m),UK,232,,0,0,19,3,0,0,0
43,40,▲,https://rgtdb.com/user/177844,Tom  Moss ,UK,221,SOUTHBOROUGH (SDW) BEES,162,0,18,3,0,0,0
44,48,▼,https://rgtdb.com/user/96645,Marcin Szkudlarek,Poland,218,MOON RIDERS,0,0,35,4,0,0,0
45,54,▼,https://rgtdb.com/user/175226,Ross Collins,UK,199,MOON RIDERS,74,0,27,3,0,0,0
46,41,▲,https://rgtdb.com/user/48021,Magalhães  Daniel otr m,Brazil,197,,0,0,21,3,0,0,0
47,65,▼,https://rgtdb.com/user/131274,Jan Deca [яʀ],Belgium,197,RASIO RACING,197,0,2,2,0,1,1
48,42,▲,https://rgtdb.com/user/65709,Ian stephens Sdw (0),UK,196,SOUTHBOROUGH (SDW) SKEETERS,196,0,37,4,0,0,0
49,55,▼,https://rgtdb.com/user/179576,Donald Grant sdw,UK,193,SOUTHBOROUGH (SDW) SKEETERS,193,0,37,4,0,0,0
50,44,▲,https://rgtdb.com/user/228203,Thijmen Cornelissens,Netherlands,185,,0,0,36,3,0,0,0
51,75,▼,https://rgtdb.com/user/241161,Weiran Shen,China,174,WESTERLEY TWO,83,53,18,3,0,0,0
52,46,▲,https://rgtdb.com/user/210578,Ben Van der burg,Netherlands,174,,0,0,31,3,0,0,0
53,47,▲,https://rgtdb.com/user/127225,Kenneth Vansina[pdl],Belgium,171,PEDALERS,0,0,42,3,0,0,0
54,95,▼,https://rgtdb.com/user/228324,Nic Lee,UK,154,WESTERLEY TWO,140,49,19,3,0,0,0
55,50,▲,https://rgtdb.com/user/162587,Pedro Reis,Portugal,153,,0,0,39,3,0,0,0
56,51,▲,https://rgtdb.com/user/78574,Stephen Bellio otr,USA,152,,0,0,39,3,0,0,0
57,52,▲,https://rgtdb.com/user/87547,Nick Beale,UK,150,,0,0,11,2,0,0,0
58,53,▲,https://rgtdb.com/user/197451,Chris (otr) Hopkinson(m),UK,143,,0,0,27,2,0,0,0
59,76,▼,https://rgtdb.com/user/172007,Patrick Boumann,Netherlands,139,,0,0,51,4,0,0,0
60,96,▼,https://rgtdb.com/user/86836,Rob Bennett,UK,137,WESTERLEY THREE,137,36,32,2,0,0,0
61,104,▼,https://rgtdb.com/user/232488,Scott  Crichton ,Australia,134,,0,0,23,2,0,0,0
62,56,▲,https://rgtdb.com/user/189298,Rob Miller (m),USA,119,,0,0,33,2,0,0,0
63,57,▲,https://rgtdb.com/user/149819,Peter Kennedy (m),,118,TEAM CAMERON,118,0,36,2,0,0,0
64,58,▲,https://rgtdb.com/user/235888,Rich Heath,UK,117,,0,0,40,2,0,0,0
65,59,▲,https://rgtdb.com/user/91958,Gt Thakkar,UK,116,WESTERLEY THREE,116,45,41,3,0,0,0
66,60,▲,https://rgtdb.com/user/237823,Tom Heremans,Belgium,110,,0,0,25,2,0,0,0
67,61,▲,https://rgtdb.com/user/132921,Iain Davidson ,UK,108,,0,0,44,2,0,0,0
68,62,▲,https://rgtdb.com/user/177199,Julian Fussell sdw,UK,101,SOUTHBOROUGH (SDW) BEES,70,0,31,2,0,0,0
69,122,▼,https://rgtdb.com/user/69166,Ian Nguru,Kenya,99,WESTERLEY THREE,39,30,41,2,0,0,0
70,63,▲,https://rgtdb.com/user/32313,Alex Pleger [яʀ],Deutschland,98,,0,0,3,1,0,0,1
71,64,▲,https://rgtdb.com/user/241893,Gaetan Calas,France,98,,0,0,3,1,0,0,1
72,66,▲,https://rgtdb.com/user/74342,Nic Stevenson,UK,97,WESTERLEY ONE,97,20,4,1,0,0,0
73,67,▲,https://rgtdb.com/user/183281,Chris Duffy bees,UK,96,SOUTHBOROUGH (SDW) BEES,96,0,52,2,0,0,0
74,68,▲,https://rgtdb.com/user/221746,Tom Yates-ijaz,UK,96,WESTERLEY FOUR,96,33,47,2,0,0,0
75,69,▲,https://rgtdb.com/user/5419,C. Riemens,Netherlands,95,,0,0,6,1,0,0,0
76,70,▲,https://rgtdb.com/user/165638,Mads Schnoor,Danmark,95,TEAM POCOMOTION (VIKINGS),95,0,6,1,0,0,0
77,71,▲,https://rgtdb.com/user/118750,Sam Kimber,UK,94,,0,0,7,1,0,0,0
78,72,▲,https://rgtdb.com/user/199111,Niko Nikodemiak,Poland,93,,0,0,8,1,0,0,0
79,73,▲,https://rgtdb.com/user/239729,John Bergensk-brt,USA,93,TEAM BTR,93,0,8,1,0,0,0
80,74,▲,https://rgtdb.com/user/194499,Kristof Keszthelyi-k,Hungary,92,,0,0,52,2,0,0,0
81,77,▲,https://rgtdb.com/user/149081,Sam Doshi,UK,89,WESTERLEY FOUR,89,41,58,3,0,0,0
82,78,▲,https://rgtdb.com/user/149169,Edu Harms [brt],Netherlands,88,,0,0,13,1,0,0,0
83,79,▲,https://rgtdb.com/user/243887,Jeffrey Hoevenaars,Netherlands,88,,0,0,51,2,0,0,0
84,80,▲,https://rgtdb.com/user/109368,Jim Ogilvie otr,UK,87,,0,0,14,1,0,0,0
85,81,▲,https://rgtdb.com/user/175692,James Osborn ,UK,87,,0,0,14,1,0,0,0
86,82,▲,https://rgtdb.com/user/63785,Henrik Mård [pdl],Sweden,86,PEDALERS,86,0,15,1,0,0,0
87,83,▲,https://rgtdb.com/user/240834,Anders Borggaard,Danmark,84,,0,0,17,1,0,0,0
88,,*,https://rgtdb.com/user/155734,F. R.,Espana,84,,0,0,17,1,0,0,0
89,84,▲,https://rgtdb.com/user/189396,Mads Klinksgaard,Danmark,82,,0,0,19,1,0,0,0
90,85,▲,https://rgtdb.com/user/211440,Teun Sturmans,Netherlands,80,,0,0,21,1,0,0,0
91,86,▲,https://rgtdb.com/user/59104,Yahya Öksüzoglu,Turkey,79,,0,0,59,2,0,0,0
92,87,▲,https://rgtdb.com/user/224881,Stefano Brunelli,Italia,79,,0,0,22,1,0,0,0
93,88,▲,https://rgtdb.com/user/189668,Thomas Medioni,France,78,,0,0,23,1,0,0,0
94,89,▲,https://rgtdb.com/user/225394,Ward Simons,Belgium,76,,0,0,25,1,0,0,0
95,,*,https://rgtdb.com/user/88613,Jerry Ball,UK,76,WESTERLEY THREE,76,17,25,1,0,0,0
96,90,▲,https://rgtdb.com/user/96989,Mathieu Dupin,France,75,,0,0,26,1,0,0,0
97,91,▲,https://rgtdb.com/user/170063,Marco Verhoogt,Netherlands,75,,0,0,63,2,0,0,0
98,92,▲,https://rgtdb.com/user/243810,Nicolas Moreno,Lithuania,75,,0,0,26,1,0,0,0
99,93,▲,https://rgtdb.com/user/213664,Garrett Metz,USA,75,,0,0,55,2,0,0,0
100,94,▲,https://rgtdb.com/user/206402,Paul Pudel otr,Deutschland,74,,0,0,27,1,0,0,0
101,,*,https://rgtdb.com/user/126631,Ibai Jauregi (a),Espana,72,,0,0,29,1,0,0,0
102,97,▲,https://rgtdb.com/user/192238,J. Pdq coach ,UK,68,,0,0,33,1,0,0,0
103,98,▲,https://rgtdb.com/user/175229,Matthias  Goossens,Belgium,67,,0,0,34,1,0,0,0
104,99,▲,https://rgtdb.com/user/213097,Angus Smith,UK,66,,0,0,35,1,0,0,0
105,100,▲,https://rgtdb.com/user/192123,Bonehead Younger ,UK,65,,0,0,36,1,0,0,0
106,101,▲,https://rgtdb.com/user/227118,Chris Dudley (o),USA,63,,0,0,38,1,0,0,0
107,102,▲,https://rgtdb.com/user/229031,Kasper Hededam,Danmark,61,,0,0,40,1,0,0,0
108,,*,https://rgtdb.com/user/138802,David Thomas,UK,61,,0,0,40,1,0,0,0
109,103,▲,https://rgtdb.com/user/238790,Jak yé Mitchell,France,60,,0,0,41,1,0,0,0
110,,*,https://rgtdb.com/user/155619,Pierre Massé,France,58,,0,0,43,1,0,0,0
111,105,▲,https://rgtdb.com/user/215631,Steve Dawson,UK,56,,0,0,45,1,0,0,0
112,,*,https://rgtdb.com/user/9559,Lesley Baerts,Belgium,56,,0,0,45,1,0,0,0
113,106,▲,https://rgtdb.com/user/214154,Christian  Sheridan m,USA,55,,0,0,46,1,0,0,0
114,107,▲,https://rgtdb.com/user/244023,Harald Hofmeier,Deutschland,55,,0,0,46,1,0,0,0
115,108,▲,https://rgtdb.com/user/149649,El Wright (w),UK,55,,0,0,46,1,0,0,0
116,109,▲,https://rgtdb.com/user/193738,Biscuit Dupanne,Netherlands,54,,0,0,47,1,0,0,0
117,110,▲,https://rgtdb.com/user/226270,Glen Thurgood,UK,54,,0,0,47,1,0,0,0
118,,*,https://rgtdb.com/user/249312,Wayne Kent,South Africa,54,,0,0,47,1,0,0,0
119,111,▲,https://rgtdb.com/user/21787,Hakan Kutluca,Deutschland,53,,0,0,48,1,0,0,0
120,,*,https://rgtdb.com/user/249688,Pat Herron,UK,52,,0,0,49,1,0,0,0
121,112,▲,https://rgtdb.com/user/53484,James Tobin,Eire,50,,0,0,51,1,0,0,0
122,113,▲,https://rgtdb.com/user/114811,Roberto Martí,Espana,49,,0,0,52,1,0,0,0
123,114,▲,https://rgtdb.com/user/206831,Edgaras Spiridonov,Lithuania,48,,0,0,53,1,0,0,0
124,115,▲,https://rgtdb.com/user/80375,Arnaud M. (m/c),France,48,,0,0,53,1,0,0,0
125,116,▲,https://rgtdb.com/user/96541,Carl Dickason,New Zealand,46,,0,0,55,1,0,0,0
126,117,▲,https://rgtdb.com/user/120170,Laurent Gonon,France,45,,0,0,56,1,0,0,0
127,118,▲,https://rgtdb.com/user/228469,Lea Marigaux,France,45,,0,0,56,1,0,0,0
128,119,▲,https://rgtdb.com/user/234437,Ama Amra,Portugal,44,,0,0,57,1,0,0,0
129,120,▲,https://rgtdb.com/user/114609,Jorge  Roldán ,Costa Rica,41,,0,0,60,1,0,0,0
130,121,▲,https://rgtdb.com/user/208041,Romain Choquet,France,40,,0,0,61,1,0,0,0
131,123,▲,https://rgtdb.com/user/167006,Mike Murray,UK,39,,0,0,62,1,0,0,0
132,124,▲,https://rgtdb.com/user/200597,Asbjørn May,Danmark,38,,0,0,63,1,0,0,0
133,125,▲,https://rgtdb.com/user/16063,Sander Anders,Netherlands,36,,0,0,65,1,0,0,0
134,126,▲,https://rgtdb.com/user/40757,Moises Silva,Portugal,36,,0,0,65,1,0,0,0
135,127,▲,https://rgtdb.com/user/93278,Zack  Welhouse ,USA,35,,0,0,66,1,0,0,0
136,128,▲,https://rgtdb.com/user/240621,Pablo Vega,Espana,33,,0,0,68,1,0,0,0
137,129,▲,https://rgtdb.com/user/35568,Steeve Wall (m),Deutschland,33,,0,0,68,1,0,0,0
138,130,▲,https://rgtdb.com/user/223767,John Purnell,UK,32,,0,0,69,1,0,0,0
139,131,▲,https://rgtdb.com/user/239358,Iain Craik(o),UK,32,,0,0,69,1,0,0,0
140,132,▲,https://rgtdb.com/user/233599,Julien  Chtifou b,France,32,,0,0,69,1,0,0,0
141,133,▲,https://rgtdb.com/user/42929,Michael  Sendner ,Deutschland,31,,0,0,70,1,0,0,0
142,134,▲,https://rgtdb.com/user/219583,Dan Duffy,USA,31,,0,0,70,1,0,0,0
143,135,▲,https://rgtdb.com/user/217466,Mike Niesten,Netherlands,30,,0,0,71,1,0,0,0
144,136,▲,https://rgtdb.com/user/183664,Marcoid Marabu,Hungary,30,,0,0,71,1,0,0,0
145,137,▲,https://rgtdb.com/user/97222,Paulo Almeida,Portugal,29,,0,0,72,1,0,0,0
146,138,▲,https://rgtdb.com/user/243235,Ben Revill,UK,28,,0,0,73,1,0,0,0
147,139,▲,https://rgtdb.com/user/207064,Nuno Vicente,Portugal,25,,0,0,76,1,0,0,0
148,140,▲,https://rgtdb.com/user/235036,Vincent Delmas,France,25,,0,0,76,1,0,0,0
149,141,▲,https://rgtdb.com/user/103388,Guillaume  Eynard ,France,24,,0,0,77,1,0,0,0
150,142,▲,https://rgtdb.com/user/17597,Kristof Novi (o),Canada,24,,0,0,77,1,0,0,0
151,143,▲,https://rgtdb.com/user/209233,Beat Blumenthal,Switzerland,23,,0,0,78,1,0,0,0
152,144,▲,https://rgtdb.com/user/235135,Michael Creighton,Eire,23,,0,0,78,1,0,0,0
153,145,▲,https://rgtdb.com/user/121774,Kette Rechts,,22,,0,0,79,1,0,0,0
154,146,▲,https://rgtdb.com/user/233673,Julien Ouazri,France,22,,0,0,79,1,0,0,0
155,147,▲,https://rgtdb.com/user/123417,Mike Buckhurst,USA,21,,0,0,80,1,0,0,0
156,148,▲,https://rgtdb.com/user/207359,Becky Evans pdq(w),UK,21,,0,0,80,1,0,0,0
157,149,▲,https://rgtdb.com/user/123242,Hendrik Erkamp,Netherlands,20,,0,0,81,1,0,0,0
158,150,▲,https://rgtdb.com/user/62564,Paulo Duarte,Portugal,18,,0,0,83,1,0,0,0
159,151,▲,https://rgtdb.com/user/121915,Emanuel Águas,Portugal,17,,0,0,84,1,0,0,0
160,152,▲,https://rgtdb.com/user/173992,Milan  Guzijan,Serbia,16,,0,0,85,1,0,0,0
161,153,▲,https://rgtdb.com/user/102657,Island Arnaud,France,15,,0,0,86,1,0,0,0
